,sentence,pred_sentence_tok,sentence_tok,pred_sentence
63,แม่งด่ากันแรงเกินบางทีอ่ะ,แม่ ง ดาก กะ แรง เกิน บางที ไอ ไม่,แม่ ง ด่า กัน แรง เกิน บางที อ่ะ,แม่งดากกะแรงเกินบางทีไอไม่
64,ไม่ครับนี่ไม่ใช่เรฟเฟอเร้นครับมึงไม่ได้เพิ่มเติมเนื้อหาด้วยมึงก็อปครับ,ไม่ ครับ นี่ ไม่ ใช่ เร ฟเฟอ เร้น ครับ มึง ไม่ ได้ เพิ่มเติม เนื้อหา ด้วย มึง ก็อป ครับ,ไม่ ครับ นี่ ไม่ ใช่ เร ฟเฟอ เร้น ครับ มึง ไม่ ได้ เพิ่มเติม เนื้อหา ด้วย มึง ก็อป ครับ,ไม่ครับนี่ไม่ใช่เรฟเฟอเร้นครับมึงไม่ได้เพิ่มเติมเนื้อหาด้วยมึงก็อปครับ
65,และนี่ก็คือปกคลิปที่เราตามสืบกันมาครับคุณจะสังเกตว่ามันไม่ได้เหมือนกันร้อยเปอร์เซ็น,และ นี่ ก็ คือ ปก คลิป ที่ เรา ตาม สืบกันมา ครับ คุณ จะ สังเกตว่า มัน ไม่ ได้ เหมือนกัน ร้อย เปอร์ เซ็น,และ นี่ ก็ คือ ปก คลิป ที่ เรา ตาม สืบกันมา ครับ คุณ จะ สังเกตว่า มัน ไม่ ได้ เหมือนกัน ร้อย เปอร์ เซ็น,และนี่ก็คือปกคลิปที่เราตามสืบกันมาครับคุณจะสังเกตว่ามันไม่ได้เหมือนกันร้อยเปอร์เซ็น
66,เพราะว่าคนไทยเนี่ยครับชอบดูอะไรควายควาย,เพราะว่า คนไทย เนี่ย ครับ ชอบ ดู อะไร ควาย ควาย,เพราะว่า คนไทย เนี่ย ครับ ชอบ ดู อะไร ควาย ควาย,เพราะว่าคนไทยเนี่ยครับชอบดูอะไรควายควาย
67,นี้กูไม่กินขนมนอกจากเซี่ยงไฮ้และเบงเบงรสช็อกโกแลตกูกินได้แค่นั้นเคยไปกินอาฟเตอยูอ่ะสั่งอะไร,ก นี้ กู ไม่ กิน ขนม นอกจาก เซียกใฮ้ ระเบง เบงรถ ช็อก โก แล็ต นี่ ะ กู กิน ได้ แค่นั้น เคย ไป กิน อัพเตอ์ ยู อ่อ สั่ง อะไร,นี้ กู ไม่ กิน ขนม นอกจาก เซี่ยงไฮ้ และ เบงเบงรส ช็อกโกแลต กู กิน ได้ แค่นั้น เคย ไป กิน อา ฟ เต อ ยู อ่ะ สั่ง อะไร,กนี้กูไม่กินขนมนอกจากเซียกใฮ้ระเบงเบงรถช็อกโกแล็ตนี่ะกูกินได้แค่นั้นเคยไปกินอัพเตอ์ยูอ่อสั่งอะไร
68,ดึงดึงดึงดึงดึงดึงดึงไปถึงที่นั่นตั้งแต่บ่ายสี่โมงอ่ะภารกิจคือออปเจคทีฟคือทำยังไงก็ได้ให้,ดึง ดึง ดึง ดึง ดึง ดึง ดึง ไป ถึงที่ นาน ตัด หมาย สี่ โมง อ่ ธาร กิจ คือ อ๊อปที้ ทิป คือ ท[ UNK ]า แง ง ก็ได้,ดึง ดึง ดึง ดึง ดึง ดึง ดึง ไป ถึง ที่นั่น ตั้งแต่ บ่าย สี่ โมง อ่ะ ภารกิจ คือ ออ ป เจ ค ที ฟ คือ ทำ ยังไง ก็ได้ ให้,ดึงดึงดึงดึงดึงดึงดึงไปถึงที่นานตัดหมายสี่โมงอ่ธารกิจคืออ๊อปที้ทิปคือท[UNK]าแงงก็ได้
69,และหลังจากที่เราจัดการปัญหาของไอ้หน้าจืดที่แม่งเสือกไม่ปิด,และ หลังจากที่ เรา จัดการ ปัญหา ของ ไอ้ หน้าจืด ที่ แม่ ง เสือก ไม่ ปิด,และ หลังจากที่ เรา จัดการ ปัญหา ของ ไอ้ หน้าจืด ที่ แม่ ง เสือก ไม่ ปิด,และหลังจากที่เราจัดการปัญหาของไอ้หน้าจืดที่แม่งเสือกไม่ปิด
70,กูสั่งให้ไปตายเว้ยไป,กู สั่ง ให้ ไป ตาย เว้ย ไป,กู สั่ง ให้ ไป ตาย เว้ย ไป,กูสั่งให้ไปตายเว้ยไป
71,เนี้ยโอเคผมได้อัลติละเดี๋ยวรอผมได้ดาบฟาร์มหรือว่าของป่าชิ้นใหม่ก่อนนะ,จ อัน เนี้ โอเค ผม แนด ดีละ เดี๋ยว ลอบ ผม ได้ ดับ ทราม กู ว่า ของ ปาก ชี่ ใหม่ กัน นะ,เนี้ย โอเค ผม ได้ อัล ติละ เดี๋ยว รอ ผม ได้ ดาบ ฟาร์ม หรือว่า ของป่า ชิ้น ใหม่ ก่อน นะ,จอันเนี้โอเคผมแนดดีละเดี๋ยวลอบผมได้ดับทรามกูว่าของปากชี่ใหม่กันนะ
72,นี่นี่เดี๋ยวกูจะ,นี่ นี่ เดี๋ยว กู จะ,นี่ นี่ เดี๋ยว กู จะ,นี่นี่เดี๋ยวกูจะ
73,แต่แม่งคริ้นชิบหาย,แต่ แม่ งค ริ้น ชิบหาย,แต่ แม่ งค ริ้น ชิบหาย,แต่แม่งคริ้นชิบหาย
74,ภาพในหัวคุณให้เปลี่ยนเป็นภาพไอ้เหี้ยนี่เลยก่อนที่เราจะมา,ภาพ ใน หัว คุณ ให้ เปลี่ยนเป็น ภาพ ไอ้ เหี้ย นี่ เลย ก่อนที่ เรา จะ มา,ภาพ ใน หัว คุณ ให้ เปลี่ยนเป็น ภาพ ไอ้ เหี้ย นี่ เลย ก่อนที่ เรา จะ มา,ภาพในหัวคุณให้เปลี่ยนเป็นภาพไอ้เหี้ยนี่เลยก่อนที่เราจะมา
75,นึงมีเพลงนึงโอดังสัดมึงเข้าใจร้านไหมร้านตึกคูหาเล็กเล็กอ่ะหนึ่งร้านมีเพลงหนึ่งหนึ่งร้านมี,มึง มี เพลง ห นึง โอ ซัน อา สัด มึง เข้าใจ ร้าน ไม ร้าน ตึก คู่ หาย เล็ก เลย กะ หนึ่ง ร้าน มี เพลง หนึ่ง หึ่ง ร้า นี,นึง มี เพลง นึง โอ ดัง สัด มึง เข้าใจ ร้าน ไหม ร้าน ตึก คูหา เล็ก เล็ก อ่ะ หนึ่ง ร้าน มี เพลง หนึ่ง หนึ่ง ร้าน มี,มึงมีเพลงหนึงโอซันอาสัดมึงเข้าใจร้านไมร้านตึกคู่หายเล็กเลยกะหนึ่งร้านมีเพลงหนึ่งหึ่งร้านี
76,เย็ดแม่มึงคนหีไง,เย็ด แม่ ง มึง คัน หี ไน,เย็ด แม่ มึง คน หี ไง,เย็ดแม่งมึงคันหีไน
77,สามคนนะเอาผมไม่ลงอ่ะผมซัดหน้าทีเดียวหงายนะสามคนเมื่อวานนะเออกระจอก,สาม คน นะ เอา ผม ไม่ ลุง อ่ะ ผม ซา นา รถ ยม หาย ณะ สาม คน ม่ หว่าน น่ะ ออ ก็ จอก,สาม คน นะ เอา ผม ไม่ ลง อ่ะ ผม ซัด หน้า ทีเดียว หงาย นะ สาม คน เมื่อวาน นะ เออ กระจอก,สามคนนะเอาผมไม่ลุงอ่ะผมซานารถยมหายณะสามคนม่หว่านน่ะออก็จอก
78,ขาดูหีไหมอ้าวดูดิอยากให้ดูก็ดู,ขา ดู หี ไหม อ่าว ดูดิ ให้ ดู ก็ ดู อ,ขา ดู หี ไหม อ้าว ดูดิ อยาก ให้ ดู ก็ ดู,ขาดูหีไหมอ่าวดูดิให้ดูก็ดูอ
79,การแข่งขันอั้นนี้ไงเข้าเรียกอะไรวะอ๋อการแข่งขันที่พึ่งผ่านมาผมได้ถ้วยรางวัลไง,ไร ขัน งัน นี้ ไง ข เด้ ย อะไร วะ อ๋อ กา ขัด ที่ พู ุ้ ผา นมะ ผม ได้ ช้วย รำ มัน ไง,การแข่งขัน อั้น นี้ ไง เข้า เรียก อะไร วะ อ๋อ การแข่งขัน ที่พึ่ง ผ่าน มา ผม ได้ ถ้วยรางวัล ไง,ไรขันงันนี้ไงขเด้ยอะไรวะอ๋อกาขัดที่พูุ้ผานมะผมได้ช้วยรำมันไง
80,เหี้ยแบบโดนกระชากเสื้อไปเดินไปยังสุดซอยถูกใจยังอ่ะเนี่ยยังไม่ถูกใจระหว่างพูด,ี้ย แบบ โดน กระชาก เสื้อ ก ไป เดิน มายัง สุด ซอย ถูกใจ เอ ย่าง ไม่ เหีย ยัง ไม่ ถูกใจ ระหว่าง พูด,เหี้ย แบบ โดน กระชาก เสื้อ ไป เดิน ไป ยัง สุด ซอย ถูกใจ ยัง อ่ะ เนี่ย ยัง ไม่ ถูกใจ ระหว่าง พูด,ี้ยแบบโดนกระชากเสื้อกไปเดินมายังสุดซอยถูกใจเอย่างไม่เหียยังไม่ถูกใจระหว่างพูด
81,มึงไม่รู้พลังที่แท้จริงของเขาเว้ย,มึง ไม่ รู้ พลัง ที่ แท้จริง ของ เขา เว้ย,มึง ไม่ รู้ พลัง ที่ แท้จริง ของ เขา เว้ย,มึงไม่รู้พลังที่แท้จริงของเขาเว้ย
82,คือไอ้คนที่อยากจะให้เครดิตเนี้ยครับถ้าเกิดว่ามันอยากจะให้เครดิตจริงจริงนะครับ,คือ ไอ้ คน ที่ อยาก จะ ให้ เครดิต เนี้ย ครับ ถ้า เกิด ว่า มัน อยาก จะ ให้ เครดิต จริง จริง นะ ครับ,คือ ไอ้ คน ที่ อยาก จะ ให้ เครดิต เนี้ย ครับ ถ้า เกิด ว่า มัน อยาก จะ ให้ เครดิต จริง จริง นะ ครับ,คือไอ้คนที่อยากจะให้เครดิตเนี้ยครับถ้าเกิดว่ามันอยากจะให้เครดิตจริงจริงนะครับ
83,ต้องไปทำด่วนด่วนมันเป็นธุระของคนรวยเข้าใจผมด้วยโอโหไอ้นี่เข้าผมแล้วครับท่านผู้ชม,ง ไป ท[ UNK ]า ส่วน สว ล เป็นธุระ ของ คุณ รวย นะ เข้าใจ ถง กู ไว้ ที่ ข้าง ผม แล้ว ทั้ง ท่อง อ้ย ไอ้ ที่มา ครับผม มาก,ต้อง ไป ทำ ด่วน ด่วน มัน เป็นธุระ ของ คนรวย เข้าใจ ผม ด้วย โอ โห ไอ้ นี่ เข้า ผม แล้ว ครับ ท่าน ผู้ชม,งไปท[UNK]าส่วนสวลเป็นธุระของคุณรวยนะเข้าใจถงกูไว้ที่ข้างผมแล้วทั้งท่องอ้ยไอ้ที่มาครับผมมาก
84,หนีเพื่อนกูตายกูจะไม่ยอมถอยมึงเจอ,หนี เพื่อน กู ตาย กู จะ ไม่ ยอม ถอย มึง เจอ,หนี เพื่อน กู ตาย กู จะ ไม่ ยอม ถอย มึง เจอ,หนีเพื่อนกูตายกูจะไม่ยอมถอยมึงเจอ
85,ทำให้ผมครับสามารถที่จะตัดสินทุกทุกคนและทุกทุกอย่างได้อย่างเท่า,ทำให้ ผม ครับ สามารถ ที่จะ ตัดสิน ทุก ทุกคน และ ทุก ทุ กอ ยาง ได้ อย่าง เท่า,ทำให้ ผม ครับ สามารถ ที่จะ ตัดสิน ทุก ทุกคน และ ทุก ทุกอย่าง ได้ อย่าง เท่า,ทำให้ผมครับสามารถที่จะตัดสินทุกทุกคนและทุกทุกอยางได้อย่างเท่า
86,พี่ค้าดูหีไหมฮะสุลต่านได้ยินวอทดูยูเซดูหีไหม,พี่ ค้า ดู หี ไหม ฮ้ะสว ต่าน ได้ยิน วะ ดู ซี้ น ดู หี ไหม,พี่ ค้า ดู หี ไหม ฮะ สุลต่าน ได้ยิน วอ ท ดู ยู เซ ดู หี ไหม,พี่ค้าดูหีไหมฮ้ะสวต่านได้ยินวะดูซี้นดูหีไหม
87,ให้พี่ก็ได้ได้โบะบ้ะกับใครสักคนสี่ทุ่มปุ้บเมืองพัททะแย้เนี่ยเป็นเด็กชายหาดแล้วมีถนนคอน,ถ้ พี่ กู เด้ ย ได้ บุ๊บะ กับ ใคร สัก คน สี่ ทุ่ม ผม เมือง พัท แย้ เนี่ย เป็น อีก ชายหาด เล้า มี ถนน คอน,ให้ พี่ ก็ได้ ได้ โบะบ้ะ กับ ใคร สัก คน สี่ ทุ่ม ปุ้บ เมือง พัท ทะ แย้ เนี่ย เป็น เด็ก ชายหาด แล้ว มี ถนน คอน,ถ้พี่กูเด้ยได้บุ๊บะกับใครสักคนสี่ทุ่มผมเมืองพัทแย้เนี่ยเป็นอีกชายหาดเล้ามีถนนคอน
88,ไอ้เด็กเปรตแม่งเอ้ยไอ้ต๋อย,ไอ้ เด็ก เปรต แม่ ง เอ้ย ไอ้ ต๋อย,ไอ้ เด็ก เปรต แม่ ง เอ้ย ไอ้ ต๋อย,ไอ้เด็กเปรตแม่งเอ้ยไอ้ต๋อย
89,โหยกูมาแตกหนึ่งเก้าไอดีหลัก,โหย กู มา แตก หนึ่ง เก้า ไอ ดี หลัก,โหย กู มา แตก หนึ่ง เก้า ไอ ดี หลัก,โหยกูมาแตกหนึ่งเก้าไอดีหลัก
90,ไอ้เหี้ย,ไอ้ เหี้ย,ไอ้ เหี้ย,ไอ้เหี้ย
91,ในอันนี้ครับด้านซ้ายเขาเอาคลิปของอื่นมาแปะเช่นเดียว,ใน อันนี้ ครับ ด้าน ซ้าย เขา เอา คลิป ของ อื่น มา แปะ เช่น เดียว,ใน อันนี้ ครับ ด้าน ซ้าย เขา เอา คลิป ของ อื่น มา แปะ เช่น เดียว,ในอันนี้ครับด้านซ้ายเขาเอาคลิปของอื่นมาแปะเช่นเดียว
92,ตายได้ดิ,ตาย ได้ ดิ,ตาย ได้ ดิ,ตายได้ดิ
93,คือมันก๊อปเว้ยเชี่ยแต่มันมันยอมรับออกมาว่าก๊อปอ่ะ,คือ มัน ก๊อ ป เว้ย เชี่ย แต่ มัน มัน ยอมรับ ออกมา ว่า ก๊อ ป อ่ะ,คือ มัน ก๊อ ป เว้ย เชี่ย แต่ มัน มัน ยอมรับ ออกมา ว่า ก๊อ ป อ่ะ,คือมันก๊อปเว้ยเชี่ยแต่มันมันยอมรับออกมาว่าก๊อปอ่ะ
94,มึงต้องไปในโซนโซนนั้นมึงไม่ใช่เข้าไปในซอยคือมึงจะไปทำอะไรคือมึงจะไปทำ,มึง ต้อง ไป ใน โศนโศน นั้น มึง ไม่ ใจ่ เข้าไป ใน ซอย ห คือ มัง จะ ไป ท[ UNK ]า อะไร คือ มม ไป ทำ,มึง ต้อง ไป ใน โซน โซน นั้น มึง ไม่ ใช่ เข้าไป ใน ซอย คือ มึง จะ ไป ทำ อะไร คือ มึง จะ ไป ทำ,มึงต้องไปในโศนโศนนั้นมึงไม่ใจ่เข้าไปในซอยหคือมังจะไปท[UNK]าอะไรคือมมไปทำ
95,อย่าอย่าอย่าโห่วีร่าบลิ้งมาเลยบลิ้งมาเลยไอ้พวกโง่หิวจัด,ยา ยา ยา โอ ละ นี้ ง มา เลย นี้ มา เลย ไอ้ พวก โง่ หี ว ใจ,อย่า อย่า อย่า โห่ วี ร่า บลิ้ง มา เลย บลิ้ง มา เลย ไอ้ พวก โง่ หิวจัด,ยายายาโอละนี้งมาเลยนี้มาเลยไอ้พวกโง่หีวใจ
96,นี่แม่งคือคลิปขอเท่,นี่ แม่ ง คือ คลิป ขอ เท่,นี่ แม่ ง คือ คลิป ขอ เท่,นี่แม่งคือคลิปขอเท่
97,ไอ้พวกหัวองคชาตินี่แม่งไม่รู้สึกตัวเหี้ย,ไอ้ พวก หัว องค ชาติ นี่ แม่ ง ไม่ รู้สึกตัว เหี้ย,ไอ้ พวก หัว องค ชาติ นี่ แม่ ง ไม่ รู้สึกตัว เหี้ย,ไอ้พวกหัวองคชาตินี่แม่งไม่รู้สึกตัวเหี้ย
98,สามเครื่องอ่ะเวลาเล่นอาโอวีอ่ะเออแต่ละเครื่องนี่เครื่องละหนึ่งแสนกูบอกไว้เลยอะ,สาม เค รื่อ มัง เวลา เลย นาวี เอ้ ว่ะ แต่ะ เครื่อง ให่ยค ร้า มา นัง แสน นะ กู บอ กว่า เลย อะ,สาม เครื่อง อ่ะ เวลาเล่น อา โอ วี อ่ะ เออ แต่ละ เครื่อง นี่ เครื่อง ละ หนึ่ง แสน กู บอก ไว้ เลย อะ,สามเครื่อมังเวลาเลยนาวีเอ้ว่ะแต่ะเครื่องให่ยคร้ามานังแสนนะกูบอกว่าเลยอะ
99,แม่งดูแบบไร้สาระวะ,แม่ ง ดู แบบ ไร้สาระ วะ,แม่ ง ดู แบบ ไร้สาระ วะ,แม่งดูแบบไร้สาระวะ
100,คือแม่งเกาะแดกคลิปของสปีดจนฟันแห้งอ่ะ,คือ แม่ ง เกาะ แดก คลิป ของ สปีด จน ฟัน แห้ง อ่ะ,คือ แม่ ง เกาะ แดก คลิป ของ สปีด จน ฟัน แห้ง อ่ะ,คือแม่งเกาะแดกคลิปของสปีดจนฟันแห้งอ่ะ
101,ห่้ะหะเดี๋ยวอะไรนะพี่เอาจริงป่ะเอาจริงซันนี่เอาจริง,อ้ะฮ้ะ เดี๋ยว อะไร นะ พี ด เอา จ ริ ว่ะ เอ่า ริ สะ นี่ เอ่า จริง,ห่้ะ หะ เดี๋ยว อะไร นะ พี่ เอาจริง ป่ะ เอาจริง ซันนี่ เอาจริง,อ้ะฮ้ะเดี๋ยวอะไรนะพีดเอาจริว่ะเอ่าริสะนี่เอ่าจริง
102,ถ้าเกิดว่าคุณตั้งใจจะทำอะไรสักอย่างหนึ่งแล้วไม่ย่อท้อเกี่ยวกับมัน,ถ้า เกิด ว่า คุณ ตั้งใจ จะ ทำ อะไร สัก อย่างหนึ่ง แล้ว ไม่ ย่อท้อ เกี่ยวกับ มัน,ถ้า เกิด ว่า คุณ ตั้งใจ จะ ทำ อะไร สัก อย่างหนึ่ง แล้ว ไม่ ย่อท้อ เกี่ยวกับ มัน,ถ้าเกิดว่าคุณตั้งใจจะทำอะไรสักอย่างหนึ่งแล้วไม่ย่อท้อเกี่ยวกับมัน
103,เป็นชุดกี่เพากี่เผ่ากี่เผ่ากี่ช่างแม่งอ่ะโอเคชุดจีนน่ะ,น เป็น ทุด กี่ พา กี่ เพา กี เผา กรี บ ท่า ง แม่ ง อ่ะ อะ เค่ ชุด จีน อ่ะ,เป็น ชุด กี่ เพา กี่ เผ่า กี่ เผ่า กี่ ช่าง แม่ ง อ่ะ โอเค ชุด จีน น่ะ,นเป็นทุดกี่พากี่เพากีเผากรีบท่างแม่งอ่ะอะเค่ชุดจีนอ่ะ
104,น่าสงสัยใช่ไหมครับแต่ผมไม่ใช่คนอคติครับผมก็เลยเข้าไปดูทั้งสอง,น่าสงสัย ใช่ไหม ครับ แต่ ผม ไม่ ใช่ คน อคติ ครับผม ก็ เลย เข้า ไปดู ทั้งสอง,น่าสงสัย ใช่ไหม ครับ แต่ ผม ไม่ ใช่ คน อคติ ครับผม ก็ เลย เข้า ไปดู ทั้งสอง,น่าสงสัยใช่ไหมครับแต่ผมไม่ใช่คนอคติครับผมก็เลยเข้าไปดูทั้งสอง
105,อ้าวว่าไงพ่อโทรบอกว่าซอยคาวบอยไม่เห็นได้อะไรเลยโอ้ยซอยคาวบอยเนี่ยมันเป็น,เอ้อ ว่า ไง พอ โทร บอ กว่า ซอย ขับ ร้อย เม่น ได้ อะไร เลย อ้ ยอ บอย เนี่ย มัน เป็น,อ้าว ว่า ไง พ่อ โทร บอ กว่า ซอย คาวบอย ไม่ เห็น ได้ อะไร เลย โอ้ย ซอย คาวบอย เนี่ย มัน เป็น,เอ้อว่าไงพอโทรบอกว่าซอยขับร้อยเม่นได้อะไรเลยอ้ยอบอยเนี่ยมันเป็น
106,มีอีวีร่ากวนส้นตีนนะมึงอย่ากวนตีนนะแม่งตั้นกู,นี อี วิ ร่า กัว สตี นน้ะเนี้ยวคน ตีน ง้น แม่ งตั้น กู มึง ออก มาด,มี อี วี ร่า กวน ส้นตีน นะ มึง อย่า กวน ตีน นะ แม่ งตั้น กู,นีอีวิร่ากัวสตีนน้ะเนี้ยวคนตีนง้นแม่งตั้นกูมึงออกมาด
107,เด็กเปรตแม่งเสียเวลากับมึงไปครึ่งชั่วโมงเลย,เด็ก เปรต แม่ ง เสียเวลา กับ มึง ไป ครึ่ง ชั่วโมง เลย,เด็ก เปรต แม่ ง เสียเวลา กับ มึง ไป ครึ่ง ชั่วโมง เลย,เด็กเปรตแม่งเสียเวลากับมึงไปครึ่งชั่วโมงเลย
108,ฮ้าไอ้ควายมึงให้ขี้,ฮ้า ไอ้ ควาย มึง ให้ ขี้,ฮ้า ไอ้ ควาย มึง ให้ ขี้,ฮ้าไอ้ควายมึงให้ขี้
109,ควยเอ้ยอย่างงี้กูจะได้คิวได้ไงอ่ะถูกป้ะ,ควย เอ้ย อย่างงี้ กู จะ ได้ คิว ได้ ไง อ่ะ ถูก ป้ะ,ควย เอ้ย อย่างงี้ กู จะ ได้ คิว ได้ ไง อ่ะ ถูก ป้ะ,ควยเอ้ยอย่างงี้กูจะได้คิวได้ไงอ่ะถูกป้ะ
110,ก็โง่สอมงฝ่อ,เก้ โง่ สมองฝ่อ,ก็ โง่ สอ มง ฝ่อ,เก้โง่สมองฝ่อ
111,ไอ้เหี้ยเนิร์ดทำเดี๋ยวกูจะด่ามึงให้ตายไอ้เหี้ยเนิร์ดทำเดี๋ยวกูจะด่ามึงให้ตาย,ไอ้ เหี้ย เนิร์ด ทำ เดี๋ยว กู จะ ด่า มึง ให้ ตาย ไอ้ เหี้ย เนิร์ด ทำ เดี๋ยว กู จะ ด่า มึง ให้ ตาย,ไอ้ เหี้ย เนิร์ด ทำ เดี๋ยว กู จะ ด่า มึง ให้ ตาย ไอ้ เหี้ย เนิร์ด ทำ เดี๋ยว กู จะ ด่า มึง ให้ ตาย,ไอ้เหี้ยเนิร์ดทำเดี๋ยวกูจะด่ามึงให้ตายไอ้เหี้ยเนิร์ดทำเดี๋ยวกูจะด่ามึงให้ตาย
112,เพราะตอนนี้กูจนมาก,เพราะ ตอนนี้ กู จน มาก,เพราะ ตอนนี้ กู จน มาก,เพราะตอนนี้กูจนมาก
113,โอ้,โอ้,โอ้,โอ้
114,ไม่ได้เก่งเหี้ยอะไรหรอกเจอตัวแข่งอย่างกูเป็นไงอ่ะ,ไม่ ได้ เก่ง เหี้ย อะไร หรอก เจอ ตัว แข่ง อย่าง กู เป็นไง อ่ะ,ไม่ ได้ เก่ง เหี้ย อะไร หรอก เจอ ตัว แข่ง อย่าง กู เป็นไง อ่ะ,ไม่ได้เก่งเหี้ยอะไรหรอกเจอตัวแข่งอย่างกูเป็นไงอ่ะ
115,กูจะเอาลูกตะกั่วก่อเข้าไปในปากมึงอ่ะไอ้เหี้ย,กู จะ รู้ ต่ควด ก่อ งอ งม เขา ไป ใน ป้า ไน่ ไอ้ เหี้ย,กู จะ เอา ลูกตะกั่ว ก่อ เข้าไป ใน ปาก มึง อ่ะ ไอ้ เหี้ย,กูจะรู้ต่ควดก่ององมเขาไปในป้าไน่ไอ้เหี้ย
116,กูจะต้องเก่งไม่ใช่หรอว่ะอ่อใช่ครับ,กู จะ ต้อง เก่ง ไม่ ใช่ หรอ ว่ะ อ่อ ใช่ ครับ,กู จะ ต้อง เก่ง ไม่ ใช่ หรอ ว่ะ อ่อ ใช่ ครับ,กูจะต้องเก่งไม่ใช่หรอว่ะอ่อใช่ครับ
117,หมาบ้านพ่อมึง,หมา มัน พ่อ มึง,หมา บ้าน พ่อ มึง,หมามันพ่อมึง
118,มีตู้กระจกมีผู้หญิงรัสเซียลาลาล่าน้าน่าสุลต่านกูแบบสูสีมาก,มี ตัว กระจก มี หญิง รัสเซีย นั่านั่า นะ สัว ต่าง กู แบ บี สะ่ งี้ ย มาก,มี ตู้กระจก มี ผู้หญิง รัสเซีย ลาลา ล่า น้า น่า สุลต่าน กู แบบ สูสี มาก,มีตัวกระจกมีหญิงรัสเซียนั่านั่านะสัวต่างกูแบบีสะ่งี้ยมาก
119,ควยแม่งว่ากูกาก,ควย แม่ ง ว่า กู กาก,ควย แม่ ง ว่า กู กาก,ควยแม่งว่ากูกาก
120,สมมุติว่าอยู่อโศกมันจะเป็นตรอกตรอกนึงเหมือนเป็นตรอกอ่ะตรอกที่แบบเปิดเพลงดุมด่ำดุมด่ำดุมด่ำ,สา สา ติ ต่า วัน อยู่ อ่ะ โศก มัน จะ เป็น ตรอก ตรอก นึง มัน ไป ตอบ อะ อะ ตรอก ที่ แบบ เปิด เพลง ทุบ ดำ ดุ่ม ดำ ดุ้ม ได้,สมมุติ ว่า อยู่ อโศก มัน จะ เป็น ตรอก ตรอก นึง เหมือน เป็น ตรอก อ่ะ ตรอก ที่ แบบ เปิด เพลง ดุม ด่ำ ดุม ด่ำ ดุม ด่ำ,สาสาติต่าวันอยู่อ่ะโศกมันจะเป็นตรอกตรอกนึงมันไปตอบอะอะตรอกที่แบบเปิดเพลงทุบดำดุ่มดำดุ้มได้
121,วางสายเขาและทักส่งแชทไปบอกว่าร้องไห้ให้จบแล้วโทรมาตีดอทต่อตะวัน,ตาง สาย เคา และ ทั้ง ทรง ใช้ ไป บร อก กว่า ร้องไห้ ให้ จบ แล้ โท หมััตี้ รอบ ตอ ห,วางสาย เขา และ ทัก ส่ง แชท ไป บอ กว่า ร้องไห้ ให้ จบ แล้ว โทร มาตี ดอท ต่อ ตะวัน,ตางสายเคาและทั้งทรงใช้ไปบรอกกว่าร้องไห้ให้จบแล้โทหมััตี้รอบตอห
122,ท่าโน่นนี่นั่นพี่แบบสุลต่านกูตาโตแบบห้ะเมื่อกี้พูดว่าอะไรนะเก็บกูมันเจอกู,ฮ่า โน ู่ด นี่ นั่น น่ะ พี่ แบบ ส่วน ต่าง กู ตา โตะ อ่ะ มึง ยะ พูดว่า อะไร นะ เก็บ กู มัน เจอ กล,ท่า โน่น นี่ นั่น พี่ แบบ สุลต่าน กู ตาโต แบบ ห้ะ เมื่อกี้ พูดว่า อะไร นะ เก็บ กู มัน เจอ กู,ฮ่าโนู่ดนี่นั่นน่ะพี่แบบส่วนต่างกูตาโตะอ่ะมึงยะพูดว่าอะไรนะเก็บกูมันเจอกล
123,คือมึงทำตอนที่มีผีสิบเอ็ดตัวพอผีเพิ่มมาสี่ตัว,คือ มึง ท[ UNK ]า ตอนที่ มี ผี สิบเอ็ด ตัว พอ ผี เพิ่ม มา สี่ ตัว,คือ มึง ทำ ตอนที่ มี ผี สิบเอ็ด ตัว พอ ผี เพิ่ม มา สี่ ตัว,คือมึงท[UNK]าตอนที่มีผีสิบเอ็ดตัวพอผีเพิ่มมาสี่ตัว
124,เอาละครับเรามาดูคลิปตอบกลับของโอตะตัวปลอมกันดีกว่าครับ,เอาละ ครับ เรา มา ดู คลิป ตอบกลับ ของ โอ ตะ ตัว ปลอม กัน ดีกว่า ครับ,เอาละ ครับ เรา มา ดู คลิป ตอบกลับ ของ โอ ตะ ตัว ปลอม กัน ดีกว่า ครับ,เอาละครับเรามาดูคลิปตอบกลับของโอตะตัวปลอมกันดีกว่าครับ
125,ว่าเพิ่มอยากที่มึงลงแม็ทหรือว่าอยากจะออกซีนนิสัยที่หยาบคายหรือว่ามันเป็นมาจาก,ว่า เพิ่ม อยาก ที่ มึง ลง แม็ท หรือว่า อยาก จะ ออก ซีน นิสัย ที่ หยาบคาย หรือว่า มัน เป็น มาจาก,ว่า เพิ่ม อยาก ที่ มึง ลง แม็ท หรือว่า อยาก จะ ออก ซีน นิสัย ที่ หยาบคาย หรือว่า มัน เป็น มาจาก,ว่าเพิ่มอยากที่มึงลงแม็ทหรือว่าอยากจะออกซีนนิสัยที่หยาบคายหรือว่ามันเป็นมาจาก
